month,Median rise in meter
1993-01-01,-0.00187312928028405
1993-02-01,-0.00475555611774325
1993-03-01,-0.0031352920923382
1993-04-01,-0.00312236626632512
1993-05-01,-0.0029886057600379
1993-06-01,-0.00245613045990467
1993-07-01,-0.00147168326657265
1993-08-01,0.00161792698781937
1993-09-01,0.00325814448297024
1993-10-01,0.00721843400970101
1993-11-01,0.00621395139023662
1993-12-01,0.00531903794035316
1994-01-01,0.0028623784892261
1994-02-01,-0.00227477145381272
1994-03-01,-0.00195831316523254
1994-04-01,-0.0018053735839203
1994-05-01,-0.00362005294300616
1994-06-01,-0.00432245573028922
1994-07-01,-0.00280305370688438
1994-08-01,-0.000634488824289292
1994-09-01,0.00301703088916838
1994-10-01,0.00818246603012085
1994-11-01,0.00747079402208328
1994-12-01,0.00614744191989303
1995-01-01,0.00265558087266982
1995-02-01,0.00180668628308922
1995-03-01,0.000627772358711809
1995-04-01,-0.00186872074846178
1995-05-01,-0.00214914977550507
1995-06-01,-0.00109931314364076
1995-07-01,-0.000723693461623043
1995-08-01,0.00166942097712308
1995-09-01,0.0074640866369009
1995-10-01,0.0110458629205823
1995-11-01,0.0113828983157873
1995-12-01,0.00837086979299784
1996-01-01,0.00423144409433007
1996-02-01,0.00242395000532269
1996-03-01,0.00102042208891362
1996-04-01,0.000908317626453936
1996-05-01,0.00212927418760955
1996-06-01,0.00185180152766407
1996-07-01,0.00511201843619347
1996-08-01,0.00623195338994265
1996-09-01,0.00964211020618677
1996-10-01,0.0155774634331465
1996-11-01,0.0163303222507238
1996-12-01,0.0102924089878798
1997-01-01,0.00618852861225605
1997-02-01,0.00300482707098126
1997-03-01,0.00343509111553431
1997-04-01,0.00253822468221188
1997-05-01,0.00476102298125625
1997-06-01,0.00608204863965511
1997-07-01,0.00829801615327597
1997-08-01,0.0135815925896168
1997-09-01,0.0190711040049791
1997-10-01,0.0228453073650599
1997-11-01,0.0195840634405613
1997-12-01,0.0160150732845068
1998-01-01,0.0126968491822481
1998-02-01,0.0123363547027111
1998-03-01,0.0121742263436317
1998-04-01,0.010842259041965
1998-05-01,0.010175559669733
1998-06-01,0.00979086756706238
1998-07-01,0.0108421947807074
1998-08-01,0.0131670702248812
1998-09-01,0.0179956946521997
1998-10-01,0.019098661839962
1998-11-01,0.0201414693146944
1998-12-01,0.018151618540287
1999-01-01,0.0147620048373938
1999-02-01,0.0121664572507143
1999-03-01,0.0118048954755068
1999-04-01,0.0111434906721115
1999-05-01,0.010480135679245
1999-06-01,0.00920949876308441
1999-07-01,0.0117913754656911
1999-08-01,0.0156263206154108
1999-09-01,0.0197168067097664
1999-10-01,0.0225673019886017
1999-11-01,0.0241286978125572
1999-12-01,0.024099089205265
2000-01-01,0.0210484210401773
2000-02-01,0.0190143212676048
2000-03-01,0.0173102971166372
2000-04-01,0.0128202047199011
2000-05-01,0.0121711036190391
2000-06-01,0.0126805491745472
2000-07-01,0.0159216914325953
2000-08-01,0.0188328269869089
2000-09-01,0.02308782748878
2000-10-01,0.0270848274230957
2000-11-01,0.028769476339221
2000-12-01,0.0255606137216091
2001-01-01,0.0237409714609385
2001-02-01,0.0198067743331194
2001-03-01,0.0189582016319036
2001-04-01,0.0177745167165995
2001-05-01,0.0175376385450363
2001-06-01,0.0185976345092058
2001-07-01,0.0213720872998238
2001-08-01,0.0254450011998415
2001-09-01,0.0296552293002605
2001-10-01,0.03057518042624
2001-11-01,0.0322564616799355
2001-12-01,0.028762087225914
2002-01-01,0.0245031844824553
2002-02-01,0.0230451878160238
2002-03-01,0.0230822078883648
2002-04-01,0.0189661271870136
2002-05-01,0.019263232126832
2002-06-01,0.0216387193650007
2002-07-01,0.0251194406300783
2002-08-01,0.0286488700658083
2002-09-01,0.0314507074654102
2002-10-01,0.0340085886418819
2002-11-01,0.0329161286354065
2002-12-01,0.0319700539112091
2003-01-01,0.030384574085474
2003-02-01,0.0265945587307215
2003-03-01,0.0235378667712212
2003-04-01,0.024136945605278
2003-05-01,0.0225252546370029
2003-06-01,0.0229484736919403
2003-07-01,0.0237261708825827
2003-08-01,0.0295570567250252
2003-09-01,0.0325178168714046
2003-10-01,0.035481721162796
2003-11-01,0.0356420688331127
2003-12-01,0.0321661494672298
2004-01-01,0.030301958322525
2004-02-01,0.0269831698387861
2004-03-01,0.0262984205037355
2004-04-01,0.025728615000844
2004-05-01,0.0246249493211508
2004-06-01,0.0259760804474354
2004-07-01,0.0264968629926443
2004-08-01,0.0306678172200918
2004-09-01,0.0361493080854416
2004-10-01,0.0390480794012547
2004-11-01,0.0375077649950981
2004-12-01,0.0370228141546249
2005-01-01,0.0350739024579525
2005-02-01,0.0321586318314075
2005-03-01,0.031492467969656
2005-04-01,0.0298567656427622
2005-05-01,0.0309938173741102
2005-06-01,0.0302517246454954
2005-07-01,0.0330553837120533
2005-08-01,0.0337563827633858
2005-09-01,0.0382958874106407
2005-10-01,0.0427320636808872
2005-11-01,0.0436422266066074
2005-12-01,0.0423596613109112
2006-01-01,0.0365287885069847
2006-02-01,0.033921018242836
